A,B
26,i_c
18,V_CE
17,active
17,forward
15,V_BE
14,bias
14,point
12,R_E
10,gA
10,junction
9,0.7V
9,saturation
8,BJT
8,I_B
8,LTspice
8,V_B
7,emitter
7,region
7,transistor
6,R_1
6,R_2
6,V_C
5,R_C
5,V_BC
5,bforward
5,current
5,divider
5,voltage
4,B-E
4,GI_C
4,V_TH-0.7V
4,_TH
4,active--
4,cutoff
4,i_c-v_ce
4,off
4,two-supply
3,E9
3,FV_O
3,GV_CE
3,IV
3,I_BQ
3,V_E
3,V_TH-V_BE
3,_C
3,base
3,cut
3,different
3,http
3,line
3,mA
3,operate
3,operation
3,qBJT
2,0.3V
2,10V-I_C
2,A.
2,AV_BE
2,B-C
2,B.
2,B8
2,BB
2,BV_BE
2,C-B
2,E4
2,GBJT
2,GV_CB
2,Gforward
2,I_CQ
2,I_E
2,Lab06
2,PV_in
2,Q-point
2,V_CB
2,V_CC-
2,V_CC-I_CQ
2,V_T
2,V_TH
2,V_in
2,bd2eb3
2,bipolar
2,ceiba.ntu.edu.tw
2,circuit
2,collector
2,content
2,course
2,curve
2,depend
2,load
2,mV
2,no
2,tube
2,v_o